stock_id,stock_name,exchange,industry,xueqiu_symbol,active
000691,亚太实业,SZ,C 制造业,SZ000691,1
000692,惠天热电,SZ,D 水电煤气,SZ000692,1
000695,滨海能源,SZ,C 制造业,SZ000695,1
000697,炼石航空,SZ,C 制造业,SZ000697,1
000700,模塑科技,SZ,C 制造业,SZ000700,1
000701,厦门信达,SZ,F 批发零售,SZ000701,1
000702,正虹科技,SZ,C 制造业,SZ000702,1
000703,恒逸石化,SZ,C 制造业,SZ000703,1
000705,浙江震元,SZ,F 批发零售,SZ000705,1
000707,双环科技,SZ,C 制造业,SZ000707,1
000708,中信特钢,SZ,C 制造业,SZ000708,1
000709,河钢股份,SZ,C 制造业,SZ000709,1
000710,贝瑞基因,SZ,M 科研服务,SZ000710,1
000712,锦龙股份,SZ,J 金融业,SZ000712,1
000713,国投丰乐,SZ,A 农林牧渔,SZ000713,1
000715,中兴商业,SZ,F 批发零售,SZ000715,1
000716,黑芝麻,SZ,C 制造业,SZ000716,1
000717,中南股份,SZ,C 制造业,SZ000717,1
000718,苏宁环球,SZ,K 房地产,SZ000718,1
000719,中原传媒,SZ,R 文化传播,SZ000719,1
000720,新能泰山,SZ,C 制造业,SZ000720,1
000721,西安饮食,SZ,H 住宿餐饮,SZ000721,1
000722,湖南发展,SZ,D 水电煤气,SZ000722,1
000723,美锦能源,SZ,C 制造业,SZ000723,1
000726,鲁泰Ａ,SZ,C 制造业,SZ000726,1
000727,冠捷科技,SZ,C 制造业,SZ000727,1
000728,国元证券,SZ,J 金融业,SZ000728,1
000729,燕京啤酒,SZ,C 制造业,SZ000729,1
000731,四川美丰,SZ,C 制造业,SZ000731,1
000733,振华科技,SZ,C 制造业,SZ000733,1
000735,罗牛山,SZ,A 农林牧渔,SZ000735,1
000736,中交发展,SZ,K 房地产,SZ000736,1
000737,北方铜业,SZ,C 制造业,SZ000737,1
000738,航发控制,SZ,C 制造业,SZ000738,1
000739,普洛药业,SZ,C 制造业,SZ000739,1
000750,国海证券,SZ,J 金融业,SZ000750,1
000751,锌业股份,SZ,C 制造业,SZ000751,1
000753,漳州发展,SZ,F 批发零售,SZ000753,1
000755,山西高速,SZ,G 运输仓储,SZ000755,1
000756,新华制药,SZ,C 制造业,SZ000756,1
000757,浩物股份,SZ,F 批发零售,SZ000757,1
000758,中色股份,SZ,B 采矿业,SZ000758,1
000759,中百集团,SZ,F 批发零售,SZ000759,1
000761,本钢板材,SZ,C 制造业,SZ000761,1
000762,西藏矿业,SZ,B 采矿业,SZ000762,1
000766,通化金马,SZ,C 制造业,SZ000766,1
000767,晋控电力,SZ,D 水电煤气,SZ000767,1
000768,中航西飞,SZ,C 制造业,SZ000768,1
000776,广发证券,SZ,J 金融业,SZ000776,1
000777,中核科技,SZ,C 制造业,SZ000777,1
000778,新兴铸管,SZ,C 制造业,SZ000778,1
000779,甘咨询,SZ,M 科研服务,SZ000779,1
000782,恒申新材,SZ,C 制造业,SZ000782,1
000783,长江证券,SZ,J 金融业,SZ000783,1
000785,居然智家,SZ,L 商务服务,SZ000785,1
000786,北新建材,SZ,C 制造业,SZ000786,1
000788,北大医药,SZ,C 制造业,SZ000788,1
000789,万年青,SZ,C 制造业,SZ000789,1
000790,华神科技,SZ,C 制造业,SZ000790,1
000791,甘肃能源,SZ,D 水电煤气,SZ000791,1
000792,盐湖股份,SZ,C 制造业,SZ000792,1
000795,英洛华,SZ,C 制造业,SZ000795,1
000796,凯撒旅业,SZ,L 商务服务,SZ000796,1
000797,中国武夷,SZ,K 房地产,SZ000797,1
000798,中水渔业,SZ,A 农林牧渔,SZ000798,1
000799,酒鬼酒,SZ,C 制造业,SZ000799,1
000800,一汽解放,SZ,C 制造业,SZ000800,1
000801,四川九洲,SZ,C 制造业,SZ000801,1
000802,北京文化,SZ,R 文化传播,SZ000802,1
000803,山高环能,SZ,N 公共环保,SZ000803,1
000807,云铝股份,SZ,C 制造业,SZ000807,1
000809,和展能源,SZ,C 制造业,SZ000809,1
000810,创维数字,SZ,C 制造业,SZ000810,1
000811,冰轮环境,SZ,C 制造业,SZ000811,1
000812,陕西金叶,SZ,C 制造业,SZ000812,1
000813,德展健康,SZ,C 制造业,SZ000813,1
000815,美利云,SZ,C 制造业,SZ000815,1
000816,智慧农业,SZ,C 制造业,SZ000816,1
000818,航锦科技,SZ,C 制造业,SZ000818,1
000819,岳阳兴长,SZ,C 制造业,SZ000819,1
000820,神雾节能,SZ,M 科研服务,SZ000820,1
000822,山东海化,SZ,C 制造业,SZ000822,1
000823,超声电子,SZ,C 制造业,SZ000823,1
000825,太钢不锈,SZ,C 制造业,SZ000825,1
000828,东莞控股,SZ,G 运输仓储,SZ000828,1
000829,天音控股,SZ,F 批发零售,SZ000829,1
000830,鲁西化工,SZ,C 制造业,SZ000830,1
000831,中国稀土,SZ,C 制造业,SZ000831,1
000833,粤桂股份,SZ,S 综合,SZ000833,1
000837,秦川机床,SZ,C 制造业,SZ000837,1
000839,国安股份,SZ,I 信息技术,SZ000839,1
000848,承德露露,SZ,C 制造业,SZ000848,1
000850,华茂股份,SZ,C 制造业,SZ000850,1
000852,石化机械,SZ,C 制造业,SZ000852,1
000856,冀东装备,SZ,C 制造业,SZ000856,1
000859,国风新材,SZ,C 制造业,SZ000859,1
000860,顺鑫农业,SZ,C 制造业,SZ000860,1
000862,银星能源,SZ,D 水电煤气,SZ000862,1
000863,三湘印象,SZ,K 房地产,SZ000863,1
000868,安凯客车,SZ,C 制造业,SZ000868,1
000869,张裕Ａ,SZ,C 制造业,SZ000869,1
000875,电投绿能,SZ,D 水电煤气,SZ000875,1
000876,新希望,SZ,C 制造业,SZ000876,1
000877,天山股份,SZ,C 制造业,SZ000877,1
000878,云南铜业,SZ,C 制造业,SZ000878,1
000880,潍柴重机,SZ,C 制造业,SZ000880,1
000881,中广核技,SZ,C 制造业,SZ000881,1
000882,华联股份,SZ,L 商务服务,SZ000882,1
000883,湖北能源,SZ,D 水电煤气,SZ000883,1
000885,城发环境,SZ,N 公共环保,SZ000885,1
000886,海南高速,SZ,G 运输仓储,SZ000886,1
000887,中鼎股份,SZ,C 制造业,SZ000887,1
000888,峨眉山Ａ,SZ,N 公共环保,SZ000888,1
000889,中嘉博创,SZ,I 信息技术,SZ000889,1
000890,法尔胜,SZ,C 制造业,SZ000890,1
000892,欢瑞世纪,SZ,R 文化传播,SZ000892,1
000893,亚钾国际,SZ,C 制造业,SZ000893,1
000895,双汇发展,SZ,C 制造业,SZ000895,1
000897,津滨发展,SZ,K 房地产,SZ000897,1
000898,鞍钢股份,SZ,C 制造业,SZ000898,1
000899,赣能股份,SZ,D 水电煤气,SZ000899,1
000900,现代投资,SZ,G 运输仓储,SZ000900,1
000901,航天科技,SZ,C 制造业,SZ000901,1
000902,新洋丰,SZ,C 制造业,SZ000902,1
000905,厦门港务,SZ,F 批发零售,SZ000905,1
000906,浙商中拓,SZ,L 商务服务,SZ000906,1
000908,石药景峰,SZ,C 制造业,SZ000908,1
000910,大亚圣象,SZ,C 制造业,SZ000910,1
000912,泸天化,SZ,C 制造业,SZ000912,1
