factor_id,prompt,prompt_zh,model,variant,objective,gamma,gross_daily_bp,cost_daily_bp,net_daily_bp,daily_turnover,net_sharpe,net_geometric_annual_return,average_nominal_holdings,median_nominal_holdings,average_effective_holdings,average_current_top20_names,average_eligible_stocks,average_raw_signal_rows
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.5,5.5173218941426505,2.6506879065894564,2.866633987553194,0.26506879065894556,0.3387467459041156,0.0509261911771294,39.42987512007685,38.0,4.42147169134931,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.6,5.681733159144045,3.177752314525007,2.5039808446190395,0.3177752314525007,0.2782039372685287,0.0383201383305751,33.01921229586936,32.0,3.614712216905396,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.7,5.778604668556262,3.7074755557693377,2.0711291127869265,0.37074755557693373,0.2162597196600992,0.0236389234433076,27.76176753121998,27.0,2.9958328935674543,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.8,5.84719007312981,4.240922648535058,1.6062674245947526,0.4240922648535057,0.1575058978687836,0.0078639133528308,22.984630163304516,22.0,2.500279445645308,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.9,5.921933860523925,4.7766433751052535,1.145290485418671,0.47766433751052534,0.1053290499101365,-0.0081670322467756,17.76897214217099,17.0,2.0901180110478217,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,1.0,6.032272856560327,5.314896771878013,0.7173760846823161,0.5314896771878013,0.061749938769159,-0.0238855857324427,1.7411143131604228,2.0,1.7410706488516288,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.1,4.009776326338348,0.5528737762505208,3.4569025500878263,0.05528737762505208,0.537480494109504,0.0768223933639893,89.90201729106629,94.0,13.925799122363308,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.2,4.525972439946955,1.074319231979261,3.4516532079676945,0.1074319231979261,0.511056057691518,0.0752410478884924,64.18011527377521,67.0,9.356741352034032,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.3,4.825398048249211,1.5938178018890006,3.2315802463602115,0.15938178018890004,0.4527678884293136,0.0675088531003231,51.280499519692604,54.0,6.913705862180035,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.4,4.967076479230507,2.111745074333012,2.8553314048974943,0.21117450743330118,0.3780622160911046,0.0554136446114035,42.4178674351585,42.5,5.386313448828729,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.5,4.972958921650581,2.6294222463544434,2.343536675296137,0.2629422246354444,0.2933534754229693,0.0396747012736815,36.07829010566763,36.0,4.3361854957057835,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.6,4.882141791134641,3.149357836027952,1.7327839551066908,0.3149357836027951,0.2051019604205635,0.0213714228720081,30.790585975024015,30.0,3.563954281512863,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.7,4.737113134115568,3.6716877458598702,1.0654253882556972,0.36716877458598696,0.119188457544126,0.0016547642958484,26.241114313160423,26.0,2.96615258751724,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.8,4.579250426361622,4.197912008276782,0.3813384180848392,0.4197912008276782,0.040269894392138,-0.0184743058198897,22.001921229586937,21.0,2.4841680030366162,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,0.9,4.447994359926137,4.726977326446643,-0.2789829665205051,0.47269773264466436,-0.0277583486781602,-0.0380949091933281,17.108069164265128,16.0,2.083012217549621,1.1018251681075888,6.13640730067243,14.863592699327569
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,1.0,4.380698773879954,5.2602615274420925,-0.8795627535621414,0.5260261527442094,-0.0822400640560267,-0.056504498822575,1.7420749279538905,2.0,1.7420749279538905,1.1018251681075888,6.13640730067243,14.863592699327569
